trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2024-04-29,561,119160.30024999996,116152.54515240638,0.3321743895991905,0.4589178264141083,45898.0,0.5869516236882732,0.5807627257620319,0.010656499895238092,-0.4152689184888818,0.009404391854837879,0.034999313225037465,-0.025594921370199586,0.3888009905996638
2024-04-30,562,119428.47974999997,114357.07606920153,0.34370361312415526,0.45916537940502167,62801.0,0.5882726038522597,0.5717853803460077,0.028834636339031494,-0.4139529358273315,0.0022505775785841564,-0.015457853987176695,0.01770843156576085,0.5270295548789541
2024-05-06,563,122008.24024999997,116622.44831714386,0.41757015670095293,0.45948170125484467,90722.0,0.6009798109591994,0.5831122415857193,0.03064173258460645,-0.40129380234042455,0.021600882012399625,0.019809637722561835,0.00179124428983779,0.7596345544204252
2024-05-07,564,118623.37274999998,116458.25942669266,0.4350997514526496,0.4596801698207855,34492.0,0.5843068630820422,0.5822912971334633,0.0034614392461320698,-0.41790367349629076,-0.027742941731347504,-0.0014078669486058404,-0.026335074782741663,0.2827022169103042
2024-05-08,565,119540.62274999998,114770.25585517508,0.4164944004359389,0.46018707752227783,2750.0,0.5888249901402867,0.5738512792758754,0.026093364962618937,-0.41340263931468146,0.007732455912656588,-0.014494494249075784,0.022226950161732373,0.023182615164683052
2024-05-09,566,118693.65474999999,116917.92309237794,0.3984543242822338,0.46052728593349457,19400.0,0.5846530533310555,0.5845896154618897,0.00010851692792335221,-0.4175587929464386,-0.007085189791685265,0.01871275114967874,-0.025797940941364006,0.1622879281846472
2024-05-10,567,117849.39624999999,115573.74269997251,0.31776997754453923,0.46070122718811035,13337.0,0.5804944627908507,0.5778687134998626,0.004543850929539461,-0.42170165080047417,-0.007112920246480137,-0.011496786436613116,0.004383866190132979,0.11236489455220858
2024-05-13,568,117965.05524999999,114478.48551409332,0.34122817061962085,0.4608009159564972,2682.0,0.5810641679502179,0.5723924275704666,0.015149991443036193,-0.42113410093684844,0.0009814135980352745,-0.009476695660211143,0.010458109258246417,0.022757859482882163
2024-05-14,569,118590.24124999999,114185.03525519828,0.4032456591363921,0.46080753207206726,11394.0,0.584143666214634,0.5709251762759914,0.023152753614516852,-0.4180662529609819,0.005299755920726401,-0.0025633660122007518,0.007863121932927153,0.09658792577050059
2024-05-15,570,118699.48275,113156.7532542254,0.4066824798358273,0.460837721824646,21117.0,0.5846817604932202,0.565783766271127,0.033401443004706266,-0.417530194388564,0.0009211677018998721,-0.009005400739901748,0.00992656844180162,0.17806692842021687
